"Artikelnummer";"EAN/Barcode";"Std. VK Brutto";"Wawi Staffel 1: Endkunden ab Menge";"Wawi Staffel 1: Endkunden Brutto";"Wawi Staffel 2: Endkunden ab Menge";"Wawi Staffel 2: Endkunden Brutto";"Webshop Brutto";"Shop bloomtech.de Staffel 1: Endkunden ab Menge";"Shop bloomtech.de Staffel 1: Endkunden Brutto";"Shop bloomtech.de Staffel 2: Endkunden ab Menge";"Shop bloomtech.de Staffel 2: Endkunden Brutto";"Verkaufskanal [bloomtech.de]: Endkunden Brutto ohne Rabatt";
"17443";;"2,90";;;;;"2,90";;;;;"2,90";
"17234";;"4,19";;;;;"4,19";;;;;"4,19";
"10001";"8717524951412";"10,90";;;;;"10,35";;;;;"10,90";
"11023";"4260617970257";"6,90";;;;;"6,90";;;;;"6,90";
"11042";"4260617970608";"10,90";;;;;"10,90";;;;;"10,90";
"11052";"4260617970240";"5,90";;;;;"3,00";;;;;"5,90";
"11055";"4260617971001";"5,90";;;;;"5,90";;;;;"5,90";
"11056";"4260617971018";"7,50";;;;;"7,50";;;;;"7,50";
"11071";"4260617972978";"2,90";"10";"2,50";;;"2,90";;;;;"2,90";
"11072";"4260617972985";"3,90";"10";"3,50";;;"3,90";;;;;"3,90";
"11073";"8717662940422";"52,90";;;;;"50,25";;;;;"52,90";
"11075";"8717662940439";"22,90";;;;;"21,76";;;;;"22,90";
"11081";"3760172780663";"34,90";;;;;"34,90";;;;;"34,90";
"11091";"5702315080054";"0,20";"2250";"0,18";;;"0,20";;;;;"0,20";
"11092";"8436554761142";"22,90";;;;;"22,90";;;;;"22,90";
"11093";"8717524951801";"13,90";;;;;"13,20";;;;;"13,90";
"11094";"4260617973623";"0,90";"216";"0,60";;;"0,90";;;;;"0,90";
"11098";"5031670001665";"9,90";;;;;"9,90";;;;;"9,90";
"10011";"753321686452";"14,90";;;;;"14,15";;;;;"14,90";
"11101";"4260617971094";"2,90";;;;;"2,90";;;;;"2,90";
"11102";"4260617971582";"1,90";;;;;"1,90";;;;;"1,90";
"11104";"8717524952136";"14,90";;;;;"14,15";;;;;"14,90";
"11105";;"15,90";;;;;"15,11";;;;;"15,90";
"11106";;"15,90";;;;;"15,11";;;;;"15,90";
"10111";"4260617970691";"2,50";;;;;"2,50";;;;;"2,50";
"11112";;"44,90";;;;;"42,66";;;;;"44,90";
"11115";"8594171431401";"99,90";;;;;"99,90";;;;;"99,90";
"10112";"4260617970202";"3,90";;;;;"2,00";;;;;"3,90";
"11121";"3760172780175";"44,90";;;;;"44,90";;;;;"44,90";
"11122";"3760172780038";"34,90";;;;;"34,90";;;;;"34,90";
"11123";"3760172780243";"34,90";;;;;"34,90";;;;;"34,90";
"11130";"8718924650172";"36,90";;;;;"36,90";;;;;"36,90";
"11133";"8718924650462";"32,90";;;;;"32,90";;;;;"32,90";
"11134";"8718924650059";"99,90";;;;;"99,90";;;;;"99,90";
"11135";"8718924650233";"27,90";;;;;"27,90";;;;;"27,90";
"11136";"8718924650523";"49,90";;;;;"49,90";;;;;"49,90";
"11139";"8717524951429";"37,90";;;;;"36,01";;;;;"37,90";
"10114";"4260617970226";"4,90";;;;;"2,00";;;;;"4,90";
"11141";"8718924650684";"59,90";;;;;"59,90";;;;;"59,90";
"11144";"753321685769";"32,90";;;;;"31,25";;;;;"32,90";
"11145";"753321685790";"14,90";;;;;"14,15";;;;;"14,90";
"10115";"4260617970974";"2,90";;;;;"2,90";;;;;"2,90";
"11150";"4008321240620";"24,90";;;;;"12,90";;;;;"24,90";
"10116";"4260617970981";"3,90";;;;;"3,90";;;;;"3,90";
"11161";"4260011570466";"9,90";;;;;"9,90";;;;;"9,90";
"11164";"4260617970721";"0,19";"20";"0,17";"100";"0,15";"0,19";;;;;"0,19";
"11166";;"16,90";;;;;"16,05";;;;;"16,90";
"10117";"4260617970998";"4,90";;;;;"4,90";;;;;"4,90";
"11174";"8717524951818";"55,90";;;;;"53,11";;;;;"55,90";
"11178";"4040849939754";"3,90";;;;;"3,90";;;;;"3,90";
"10118";"4260617970561";"6,90";;;;;"6,90";;;;;"6,90";
"11180";"8718924650189";"59,90";;;;;"59,90";;;;;"59,90";
"11181";"8718924650196";"119,90";;;;;"119,90";;;;;"119,90";
"11182";"8718924650110";"33,90";;;;;"33,90";;;;;"33,90";
"11183";"8718924650042";"59,90";;;;;"59,90";;;;;"59,90";
"11184";"8718924650066";"169,90";;;;;"169,90";;;;;"169,90";
"11188";"8718924650127";"55,90";;;;;"55,90";;;;;"55,90";
"11189";"7141148331700";"219,90";;;;;"219,90";;;;;"219,90";
