"Artikel-Nr.";"Marke";"Bezeichnung";"EAN";"Status";"Sperrgut";"Palletenartikel";"Nicht für Endkunden";"Gewicht (Kg)";"Höhe (cm)";"Breite (cm)";"Tiefe (cm)";"Nachfolger";"Alternativen";"Einheit";"VE";"MwSt";"Endkundenpreis (€)";"Händlerpreis (€)";"Endkunden-Sonderpreis (€)";"Händler-Sonderpreis (€)";"Rabattstaffel 1 (Menge)";"Rabattstaffel 1 (%)";"Rabattstaffel 1(€)";"Rabattstaffel 2 (Menge)";"Rabattstaffel 2 (%)";"Rabattstaffel 2(€)";"Rabattstaffel 3 (Menge)";"Rabattstaffel 3 (%)";"Rabattstaffel 3(€)";"Rabattstaffel 4 (Menge)";"Rabattstaffel 4 (%)";"Rabattstaffel 4(€)";"Rabattstaffel 5 (Menge)";"Rabattstaffel 5 (%)";"Rabattstaffel 5(€)";"Rabattstaffel 6 (Menge)";"Rabattstaffel 6 (%)";"Rabattstaffel 6(€)";"Bestand";"Kommentar"
"101478";"";"Easy Roll 2.0, 1 Stk., stufenlose Lampenaufhängung, belastbar bis 5 kg";"";"Normal";"Nein";"Nein";"Nein";0,16;9,4;5;4;"";"";"St";1;19;"6,50";"2,35";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 - geringer Bestand";""
"101479";"";"Easy Roll Set, 2 Stk., stufenlose Lampenaufhängung, belastbar bis 10 kg";"";"Normal";"Nein";"Nein";"Nein";0,331762;16;10;4;"";"";"St";1;19;"9,90";"4,50";"";"";"25,000";"3,00";"4,37";"100,000";"6,00";"4,23";"500,000";"10,00";"4,05";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101483";"";"Schraubhaken gebogen HG 11 zu 50 verzinkt";"";"Normal";"Nein";"Nein";"Nein";0,001;5;3;0,4;"";"";"HSt";1;19;"19,90";"7,48";"";"";"5,000";"10,00";"6,73";"15,000";"15,00";"6,36";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101484";"";"M4 x 30 Ringschraube, Haken, passt in REF-1 bis REF-7, verzinkt";"";"Normal";"Nein";"Nein";"Nein";0,455;8;6;4,5;"";"";"HSt";1;19;"4,50";"4,50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101498";"";"Netzstecker mit flexiblem Feuchtraumkabel 1,5 mm², 1,5 m lang";"";"Normal";"Nein";"Nein";"Nein";0,199;25;5;5;"";"";"St";1;19;"5,90";"2,45";"";"1,60";"100,000";"10,00";"2,21";"250,000";"20,00";"1,96";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101501";"";"flexibles Feuchtraumkabel 1,5 mm² dreiadrig, 100 m Rolle";"";"Normal";"Nein";"Nein";"Nein";10,075;33;29;10;"";"";"Rl";3;19;"269,90";"113,32";"";"";"3,000";"5,00";"107,65";"5,000";"10,00";"101,99";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101577";"Ventilution";"Ventilution Mixed In-Line, 145/187 m³/h, für 100 mm, inkl. IEC-Connector";"4823059388167";"Normal";"Nein";"Nein";"Nein";1,745;20,8;17,5;25,7;"";"";"St";8;19;"81,90";"25,22";"";"19,71";"8,000";"3,00";"24,46";"24,000";"8,00";"23,2";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101578";"Ventilution";"Ventilution Mixed In-Line, 220/280 m³/h, für 125 mm Rohr, inkl. IEC-Connector";"4823059388204";"Normal";"Nein";"Nein";"Nein";1,681;20,8;17,5;25,7;"";"";"St";8;19;"86,00";"26,38";"";"20,86";"8,000";"3,00";"25,59";"24,000";"8,00";"24,27";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101580";"Ventilution";"Ventilution Mixed In-Line, 467/552 m³/h, für 160 mm, inkl. IEC-Connector";"4823059388266";"Normal";"Nein";"Nein";"Nein";3,245;30,5;24,5;30;"";"";"St";4;19;"100,30";"53,11";"";"";"8,000";"3,00";"51,52";"24,000";"8,00";"48,86";"";"";"";"";"";"";"";"";"";"";"";"";"2 - geringer Bestand";""
"101581";"Ventilution";"Ventilution Rohrventilator, 250 m³/h, für 100 mm Rohr, Kunststoff";"4260011571135";"Normal";"Nein";"Nein";"Nein";2,585;26;26;26;"";"";"St";1;19;"91,10";"40,68";"";"32,36";"8,000";"3,00";"39,46";"24,000";"8,00";"37,43";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
