id,hersteller,slug,produkte,herstelleranschrift,eu_verantwortlicher
9299,420Flow GmbH,420flow-gmbh,10,"420Flow GmbH, diese vertr. d. d. Geschäftsführer Finn Ole Behrends, Vincent Benjamin Ponce Gattas Memeler Straße 16, 25551 Hohenlockstedt Deutschland, Telefon: +4917692697947, E-Mail: info@420flow.de, Web: https://420flow.de",
7646,420z GmbH,420z-gmbh,3,"420z GmbH, Lenbachstraße 127, 70192 Stuttgart, Deutschland, HRB 776338 (Amtsgericht Stuttgart), Telefon: +49 7141 9114050, E-Mail: info@420z-filters.de, Web: https://www.420z-filters.de",
8582,AC Infinity,ac-infinity,100,"AC Infinity, Am Kanal 13/15, 79805 Eggingen, Deutschland, E-Mail: service@growtechnology.de, Web: https://acinfinity.com","GrowTechnology GmbH, Am Kanal 13/15, 79805 Eggingen, Deutschland, E-Mail: service@growtechnology.de, Web: https://growtechnology.de"
9073,Ace Seeds,ace-seeds,1,"ACE WEB PROGRESS S.L., Calle 9 d'Octubre 16 bajo, 46111 Rocafort (Valencia), Spanien, CIF B98476583, E-Mail: info@aceseeds.org",
16528,Advanced Hydroponics of Holland B.V.,advanced-hydroponics-of-holland-b-v,42,"Advanced Hydroponics of Holland B.V., Binnenweg 4, 5683 PR Best, Niederlande, E-Mail: sandra@advancedhydro.com",
3733,Advanced Nutrients,advanced-nutrients,0,"Advanced Nutrients, 8687 Melrose Ave, Suite G320, West Hollywood, CA 90069, USA, info@advancednutrients.com","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
9071,Amsterdam Genetics,amsterdam-genetics,1,"Masque B.V. (Amsterdam Genetics), Humberweg 6, 1043 AC Amsterdam, Niederlande, KvK 55026486, Telefon: +31204122392, E-Mail: office@amsterdamgenetics.com",
8703,Anders + Redelfs,anders-redelfs,1,"Anders + Redelfs, Industriestraße 28-30, 91781 Weißenburg i. Bay., Deutschland, E-Mail: einkauf@anders-laborshop.com, Web: https://anders-laborshop.com",
16323,Aptus Plant Care,aptus-plant-care,10,"Aptus Plant Care, Daelderweg 22, 6361 HK Nuth, Niederlande, Web: https://aptus-holland.com",
13033,Aqua Master Tools,aqua-master-tools,19,"Aqua Master Tools, Ambachtsweg 55c, 1271 AL Huizen, Niederlande, E-Mail: info@aquamastertools.com",
